Date,9988.HK,BABA
2022-08-03,90.19237518310547,94.4503402709961
2022-08-04,94.83426666259766,96.13765716552734
2022-08-05,92.73793029785156,91.33224487304688
2022-08-08,88.64508819580078,89.63506317138672
2022-08-09,89.44368743896484,89.98042297363281
2022-08-10,87.79656219482422,91.2039794921875
2022-08-11,91.58993530273438,93.61161041259766
2022-08-12,92.73793029785156,93.51293182373047
2022-08-15,91.58993530273438,92.95049285888672
2022-08-16,89.79307556152344,91.42105865478516
2022-08-17,90.19237518310547,88.57925415039062
2022-08-18,88.09603881835938,89.53639221191406
2022-08-19,89.34386444091797,88.44111633300781
2022-08-22,88.3456039428711,88.83580780029297
2022-08-23,88.24578094482422,88.63846588134766
2022-08-24,86.09953308105469,91.29277801513672
2022-08-25,93.63636016845703,98.56502532958984
2022-08-26,95.63287353515625,96.7000961303711
2022-08-29,94.9840087890625,95.31866455078125
2022-08-30,95.0339126586914,92.59526824951172
2022-08-31,94.13549041748047,94.14445495605469
2022-09-01,92.03914642333984,92.46699523925781
2022-09-02,90.49185943603516,90.58233642578125
2022-09-05,88.3456039428711,
2022-09-06,87.89639282226562,87.27676391601562
2022-09-07,87.24752807617188,89.39824676513672
2022-09-08,87.04786682128906,88.33257293701172
2022-09-09,89.64334106445312,90.9178237915039
2022-09-12,,93.43399810791016
2022-09-13,91.0408935546875,88.28324127197266
2022-09-14,86.94804382324219,87.74053192138672
2022-09-15,87.94630432128906,87.65172576904297
2022-09-16,86.64857482910156,85.28356170654297
2022-09-19,83.5539779663086,86.49725341796875
2022-09-20,86.04961395263672,84.66191864013672
2022-09-21,82.90511322021484,80.51762390136719
2022-09-22,80.70895385742188,79.63943481445312
2022-09-23,78.26322937011719,77.75476837158203
2022-09-26,78.56269836425781,77.86331176757812
2022-09-27,77.76409912109375,76.83710479736328
2022-09-28,74.5696792602539,79.91571807861328
2022-09-29,76.71592712402344,78.01131439208984
2022-09-30,77.81401062011719,78.92898559570312
2022-10-03,77.51453399658203,79.38288116455078
2022-10-04,,82.99433898925781
2022-10-05,84.0531005859375,83.27062225341797
2022-10-06,83.00494384765625,83.20154571533203
2022-10-07,81.20807647705078,80.16239929199219
2022-10-10,78.56269836425781,78.18892669677734
2022-10-11,75.86741638183594,74.37026977539062
2022-10-12,74.22029113769531,74.72549438476562
2022-10-13,72.62308502197266,74.01504516601562
2022-10-14,73.12220764160156,72.05142974853516
2022-10-17,73.07229614257812,75.75169372558594
2022-10-18,75.86741638183594,75.327392578125
2022-10-19,72.57316589355469,70.32464599609375
2022-10-20,69.7780532836914,71.064697265625
2022-10-21,69.47857666015625,71.22257995605469
2022-10-24,61.542449951171875,62.31235885620117
2022-10-25,63.489044189453125,62.38142776489258
2022-10-26,62.19131088256836,67.60125732421875
2022-10-27,64.73686218261719,64.9666748046875
2022-10-28,61.64227294921875,62.89453125
2022-10-31,61.342796325683594,62.73665237426758
2022-11-01,65.98468017578125,64.98641204833984
2022-11-02,67.28241729736328,63.841793060302734
2022-11-03,62.89009094238281,64.34503173828125
2022-11-04,69.7780532836914,68.8840103149414
2022-11-07,69.57839965820312,68.78533935546875
2022-11-08,66.98294067382812,67.2262954711914
2022-11-09,65.88485717773438,63.97993469238281
2022-11-10,62.89009094238281,68.84454345703125
2022-11-11,70.6764907836914,69.8312759399414
2022-11-14,70.9260482788086,70.38385772705078
2022-11-15,78.7623519897461,78.24813842773438
2022-11-16,78.66252899169922,77.12326049804688
2022-11-17,78.11348724365234,83.14234924316406
2022-11-18,79.81051635742188,79.41249084472656
2022-11-21,76.01715087890625,75.90957641601562
2022-11-22,72.97247314453125,74.98204040527344
2022-11-23,75.26846313476562,77.45874786376953
2022-11-24,76.26671600341797,
2022-11-25,74.61959075927734,74.49854278564453
2022-11-28,72.07403564453125,74.87349700927734
2022-11-29,78.61261749267578,78.80071258544922
2022-11-30,79.76061248779297,86.39856719970703
2022-12-01,82.65555572509766,84.80006408691406
2022-12-02,84.65206146240234,88.86540985107422
2022-12-05,92.48836517333984,89.31930541992188
2022-12-06,89.69325256347656,90.23696899414062
2022-12-07,84.90162658691406,87.15836334228516
2022-12-08,89.24403381347656,92.92089080810547
2022-12-09,91.68975830078125,90.12843322753906
2022-12-12,88.19586944580078,88.22403717041016
2022-12-13,88.19586944580078,90.197509765625
2022-12-14,89.34386444091797,89.70413970947266
2022-12-15,85.7501449584961,85.06648254394531
2022-12-16,86.29917907714844,85.63878631591797
2022-12-19,86.89813995361328,86.0038833618164
2022-12-20,83.90337371826172,84.78032684326172
2022-12-21,84.30266571044922,86.64525604248047
2022-12-22,87.74665069580078,86.80313873291016
2022-12-23,86.3490982055664,84.51390838623047
2022-12-27,,88.6680679321289
2022-12-28,87.5469970703125,86.04334259033203
2022-12-29,85.4007568359375,87.94774627685547
2022-12-30,86.09953308105469,86.92153930664062
2023-01-03,88.49534606933594,90.75994873046875
2023-01-04,96.23182678222656,102.54156494140625
2023-01-05,99.42623901367188,103.19281768798828
2023-01-06,101.4227523803711,105.97541046142578
2023-01-09,110.2073974609375,109.35991668701172
2023-01-10,109.30896759033203,113.35618591308594
2023-01-11,112.70304107666016,113.49433135986328
2023-01-12,110.60670471191406,111.64913940429688
2023-01-13,112.50338745117188,115.45793914794922
2023-01-16,113.20216369628906,
2023-01-17,114.30024719238281,113.66207885742188
2023-01-18,113.90093994140625,111.71820831298828
2023-01-19,112.00425720214844,115.03364562988281
2023-01-20,116.09710693359375,118.27013397216797
2023-01-23,,117.94451141357422
2023-01-24,,117.85570526123047
2023-01-25,,118.65496063232422
2023-01-26,117.29501342773438,118.97071838378906
2023-01-27,117.09536743164062,116.80976104736328
2023-01-30,108.80984497070312,109.7249984741211
2023-01-31,107.41228485107422,108.73826599121094
2023-02-01,109.80809783935547,111.32351684570312
2023-02-02,108.80984497070312,108.28437042236328
2023-02-03,105.91490173339844,104.91960144042969
2023-02-06,103.01995849609375,104.05126953125
2023-02-07,104.61717224121094,104.1006088256836
2023-02-08,103.3194351196289,103.71578216552734
2023-02-09,107.41228485107422,107.02134704589844
2023-02-10,103.91838836669922,102.27515411376953
2023-02-13,103.81856536865234,103.40003204345703
2023-02-14,102.32118225097656,102.83759307861328
2023-02-15,100.7239761352539,101.71271514892578
2023-02-16,101.921875,101.7423095703125
2023-02-17,99.27649688720703,98.68343353271484
2023-02-20,99.22659301757812,
2023-02-21,95.0339126586914,93.83855438232422
2023-02-22,92.787841796875,93.5228042602539
2023-02-23,94.9840087890625,92.9110336303711
2023-02-24,89.89290618896484,87.81947326660156
2023-02-27,89.24403381347656,88.06615447998047
2023-02-28,86.3490982055664,86.62552642822266
2023-03-01,91.73967742919922,88.75686645507812
2023-03-02,87.44717407226562,88.55952453613281
2023-03-03,87.84648132324219,88.51018524169922
2023-03-06,87.09778594970703,88.4312515258789
2023-03-07,88.44542694091797,87.55305480957031
2023-03-08,85.60040283203125,85.79666137695312
2023-03-09,84.35258483886719,82.26415252685547
2023-03-10,81.00843048095703,81.85958862304688
2023-03-13,83.10476684570312,81.80038452148438
2023-03-14,79.86043548583984,82.73778533935547
2023-03-15,81.9068603515625,80.42882537841797
2023-03-16,80.35956573486328,81.12940216064453
2023-03-17,81.35781860351562,80.58670043945312
2023-03-20,79.06182861328125,79.92559051513672
2023-03-21,80.35956573486328,82.58976745605469
2023-03-22,82.70545959472656,82.54043579101562
2023-03-23,86.04961395263672,85.37236785888672
2023-03-24,85.15119171142578,85.74732971191406
2023-03-27,85.10127258300781,84.97767639160156
2023-03-28,84.10301971435547,97.09478759765625
2023-03-29,94.38505554199219,98.59461975097656
2023-03-30,96.73094940185547,102.00872802734375
